temperature,humidity,air_flow,mrt,pmv
26.3,60.0,0.64,27.95,-0.25
26.7,56.0,0.07,27.49,0.81
26.7,56.0,0.07,27.49,0.81
26.5,56.0,0.06,27.44,0.77
26.6,50.0,0.47,27.09,-0.17
26.6,50.0,0.47,27.09,-0.17
26.6,50.0,0.47,27.09,-0.17
26.6,50.0,0.47,27.09,-0.17
26.6,50.0,0.47,27.09,-0.17
26.6,50.0,0.47,27.09,-0.17
26.5,52.0,0.12,26.83,0.55
26.5,52.0,0.12,26.83,0.55
26.5,52.0,0.19,26.87,0.36
26.5,52.0,0.19,26.87,0.36
32.3,64.0,0.66,29.85,1.24
32.3,64.0,0.66,29.85,1.24
32.3,64.0,0.66,29.85,1.24
32.3,64.0,0.66,29.85,1.24
33.7,58.0,0.78,31.98,1.6
33.7,58.0,0.78,31.98,1.6
33.7,58.0,0.78,31.98,1.6
33.4,58.0,0.53,32.66,1.78
33.4,58.0,0.53,32.66,1.78
33.4,58.0,0.53,32.66,1.78
33.4,58.0,0.53,32.66,1.78
33.4,58.0,0.53,32.66,1.78
26.5,56.0,0.06,27.44,0.77
34.0,56.0,1.43,32.9,1.48
34.0,56.0,1.43,32.9,1.48
34.0,56.0,1.43,32.9,1.48
34.0,56.0,1.43,32.9,1.48
34.0,56.0,1.43,32.9,1.48
34.0,56.0,1.43,32.9,1.48
34.0,56.0,1.43,32.9,1.48
33.0,61.0,0.64,33.26,1.71
33.0,61.0,0.64,33.26,1.71
33.0,61.0,0.64,33.26,1.71
33.0,61.0,0.64,33.26,1.71
33.0,61.0,0.64,33.26,1.71
33.0,61.0,0.64,33.26,1.71
25.8,53.0,0.27,25.8,-0.1
25.8,53.0,0.27,25.8,-0.1
25.8,53.0,0.27,25.8,-0.1
25.8,53.0,0.27,25.8,-0.1
25.8,53.0,0.27,25.8,-0.1
25.8,53.0,0.27,25.8,-0.1
25.8,53.0,0.27,25.8,-0.1
24.0,57.0,0.25,25.41,-0.39
24.0,57.0,0.25,25.41,-0.39
24.0,57.0,0.25,25.41,-0.39
24.0,57.0,0.25,25.41,-0.39
24.0,57.0,0.25,25.41,-0.39
24.0,57.0,0.25,25.41,-0.39
25.8,56.0,0.29,26.22,-0.08
25.8,56.0,0.29,26.22,-0.08
25.8,56.0,0.29,26.22,-0.08
25.8,54.0,0.29,25.38,-0.19
25.8,54.0,0.29,25.38,-0.19
25.3,53.0,0.37,25.07,-0.45
27.0,54.0,0.03,26.53,0.71
27.0,54.0,0.03,26.53,0.71
27.0,54.0,0.03,26.53,0.71
27.0,54.0,0.03,26.53,0.71
27.0,54.0,0.03,26.53,0.71
27.0,54.0,0.03,26.53,0.71
27.0,54.0,0.03,26.53,0.71
27.0,54.0,0.03,26.53,0.71
27.0,54.0,0.03,26.53,0.71
27.0,54.0,0.03,26.53,0.71
33.2,53.0,0.03,31.96,2.46
33.2,53.0,0.03,31.96,2.46
33.2,53.0,0.03,31.96,2.46
33.2,53.0,0.03,31.96,2.46
33.2,53.0,0.03,31.96,2.46
33.9,53.0,0.03,32.67,2.66
33.9,53.0,0.03,32.67,2.66
33.9,53.0,0.03,32.67,2.66
33.9,53.0,0.03,32.67,2.66
33.8,55.0,0.21,33.43,2.49
33.9,56.0,0.11,33.59,2.86
34.4,58.0,1.38,33.32,1.67
33.7,62.0,0.3,33.09,2.29
33.7,62.0,0.3,33.09,2.29
33.7,62.0,0.3,33.09,2.29
33.7,62.0,0.3,33.09,2.29
33.7,62.0,0.3,33.09,2.29
33.7,62.0,0.3,33.09,2.29
33.7,62.0,0.3,33.09,2.29
32.6,65.0,0.44,32.13,1.77
25.0,45.0,0.02,26.74,0.33
25.0,45.0,0.02,26.74,0.33
25.0,45.0,0.02,26.74,0.33
25.0,45.0,0.02,26.74,0.33
25.0,45.0,0.02,26.74,0.33
28.2,44.0,0.03,27.57,0.98
28.2,44.0,0.03,27.57,0.98
28.1,46.0,0.03,27.79,1.01
28.1,46.0,0.03,27.79,1.01
28.1,46.0,0.03,27.79,1.01
28.1,46.0,0.03,27.79,1.01
28.1,46.0,0.03,27.79,1.01
28.1,46.0,0.03,27.79,1.01
24.6,46.0,0.41,26.72,-0.55
